userid	username	training_step	test_result
2	A1N4AZ1QXPOPXH	35	{"0": {"reference": "you will accept", "user_answer": "you enter"}, "1": {"reference": "you watch", "user_answer": "you watch"}, "2": {"reference": "you will watch", "user_answer": "you will watch"}, "3": {"reference": "he watched", "user_answer": "he will watch"}, "4": {"reference": "I watch", "user_answer": "I watch"}, "5": {"reference": "I accepted", "user_answer": "I enter"}, "6": {"reference": "he watches", "user_answer": "he watches"}, "test_correct_num": 4, "test_total_num": 7}
3	A1JO6AY55FG7QU	35	{"0": {"reference": "you will accept", "user_answer": "you will accept"}, "1": {"reference": "you watch", "user_answer": "you watch"}, "2": {"reference": "you will watch", "user_answer": "you will watch"}, "3": {"reference": "he watched", "user_answer": "he will watch"}, "4": {"reference": "I watch", "user_answer": "he watched"}, "5": {"reference": "I accepted", "user_answer": "I will accept"}, "6": {"reference": "he watches", "user_answer": "NO_ANSWER_MADE"}, "test_correct_num": 3, "test_total_num": 7}
4	A36J59FFWYQ6AK	35	{"0": {"reference": "you will accept", "user_answer": "you will accept"}, "1": {"reference": "you watch", "user_answer": "you watch"}, "2": {"reference": "you will watch", "user_answer": "you will watch"}, "3": {"reference": "he watched", "user_answer": "he watches"}, "4": {"reference": "I watch", "user_answer": "I watch"}, "5": {"reference": "I accepted", "user_answer": "I accept"}, "6": {"reference": "he watches", "user_answer": "he watches"}, "test_correct_num": 5, "test_total_num": 7}
5	A1JV64BL3WCK0G	35	{"0": {"reference": "you will accept", "user_answer": "you accepted"}, "1": {"reference": "you watch", "user_answer": "you watched"}, "2": {"reference": "you will watch", "user_answer": "you will watch"}, "3": {"reference": "he watched", "user_answer": "he watched"}, "4": {"reference": "I watch", "user_answer": "I will watch"}, "5": {"reference": "I accepted", "user_answer": "I will accept"}, "6": {"reference": "he watches", "user_answer": "he will watch"}, "test_correct_num": 2, "test_total_num": 7}
6	A2UC9GP05L9A51	35	{"0": {"reference": "you will accept", "user_answer": "you will accept"}, "1": {"reference": "you watch", "user_answer": "you will watch"}, "2": {"reference": "you will watch", "user_answer": "you watched"}, "3": {"reference": "he watched", "user_answer": "NO_ANSWER_MADE"}, "4": {"reference": "I watch", "user_answer": "I watched"}, "5": {"reference": "I accepted", "user_answer": "I will accept"}, "6": {"reference": "he watches", "user_answer": "NO_ANSWER_MADE"}, "test_correct_num": 1, "test_total_num": 7}
7	A1K8QNLYYYX21W	35	{"0": {"reference": "you will accept", "user_answer": "I will accept"}, "1": {"reference": "you watch", "user_answer": "he will enter"}, "2": {"reference": "you will watch", "user_answer": "NO_ANSWER_MADE"}, "3": {"reference": "he watched", "user_answer": "NO_ANSWER_MADE"}, "4": {"reference": "I watch", "user_answer": "NO_ANSWER_MADE"}, "5": {"reference": "I accepted", "user_answer": "she enters"}, "6": {"reference": "he watches", "user_answer": "NO_ANSWER_MADE"}, "test_correct_num": 0, "test_total_num": 7}
8	A1U8HCXVACOGJ8	35	{"0": {"reference": "you will accept", "user_answer": "you accepted"}, "1": {"reference": "you watch", "user_answer": "you watched"}, "2": {"reference": "you will watch", "user_answer": "you will watch"}, "3": {"reference": "he watched", "user_answer": "he watched"}, "4": {"reference": "I watch", "user_answer": "I watched"}, "5": {"reference": "I accepted", "user_answer": "I accepted"}, "6": {"reference": "he watches", "user_answer": "NO_ANSWER_MADE"}, "test_correct_num": 3, "test_total_num": 7}
9	A3U21PUMQ6NGT2	35	{"0": {"reference": "you will accept", "user_answer": "you accepted"}, "1": {"reference": "you watch", "user_answer": "you watched"}, "2": {"reference": "you will watch", "user_answer": "you watch"}, "3": {"reference": "he watched", "user_answer": "I watch"}, "4": {"reference": "I watch", "user_answer": "I will watch"}, "5": {"reference": "I accepted", "user_answer": "I accepted"}, "6": {"reference": "he watches", "user_answer": "I watch"}, "test_correct_num": 1, "test_total_num": 7}
10	A2GB0RI43KU4Z	35	{"0": {"reference": "you will accept", "user_answer": "you accepted"}, "1": {"reference": "you watch", "user_answer": "you watched"}, "2": {"reference": "you will watch", "user_answer": "you will watch"}, "3": {"reference": "he watched", "user_answer": "he watched"}, "4": {"reference": "I watch", "user_answer": "I watch"}, "5": {"reference": "I accepted", "user_answer": "I accepted"}, "6": {"reference": "he watches", "user_answer": "he will watch"}, "test_correct_num": 4, "test_total_num": 7}
11	A14ADQ7RUN6TDY	35	{"0": {"reference": "you will accept", "user_answer": "you accept"}, "1": {"reference": "you watch", "user_answer": "you watched"}, "2": {"reference": "you will watch", "user_answer": "you will watch"}, "3": {"reference": "he watched", "user_answer": "he watched"}, "4": {"reference": "I watch", "user_answer": "I watch"}, "5": {"reference": "I accepted", "user_answer": "I accept"}, "6": {"reference": "he watches", "user_answer": "he watched"}, "test_correct_num": 3, "test_total_num": 7}
12	A1HRHFU7KTS0KW	35	{"0": {"reference": "you will accept", "user_answer": "you will accept"}, "1": {"reference": "you watch", "user_answer": "you watch"}, "2": {"reference": "you will watch", "user_answer": "you will watch"}, "3": {"reference": "he watched", "user_answer": "he watched"}, "4": {"reference": "I watch", "user_answer": "I watched"}, "5": {"reference": "I accepted", "user_answer": "I accepted"}, "6": {"reference": "he watches", "user_answer": "he watches"}, "test_correct_num": 6, "test_total_num": 7}
13	A3JFIY1QXMX9ZF	35	{"0": {"reference": "you will accept", "user_answer": "you will accept"}, "1": {"reference": "you watch", "user_answer": "you watch"}, "2": {"reference": "you will watch", "user_answer": "you will watch"}, "3": {"reference": "he watched", "user_answer": "he watched"}, "4": {"reference": "I watch", "user_answer": "I watch"}, "5": {"reference": "I accepted", "user_answer": "I accept"}, "6": {"reference": "he watches", "user_answer": "NO_ANSWER_MADE"}, "test_correct_num": 5, "test_total_num": 7}
14	A21SIPO89DP66I	35	{"0": {"reference": "you will accept", "user_answer": "you accepted"}, "1": {"reference": "you watch", "user_answer": "I watch"}, "2": {"reference": "you will watch", "user_answer": "I will watch"}, "3": {"reference": "he watched", "user_answer": "he watched"}, "4": {"reference": "I watch", "user_answer": "I watched"}, "5": {"reference": "I accepted", "user_answer": "I accepted"}, "6": {"reference": "he watches", "user_answer": "he watches"}, "test_correct_num": 3, "test_total_num": 7}
15	AVD6HMIO1HLFI	35	{"0": {"reference": "you will accept", "user_answer": "you will accept"}, "1": {"reference": "you watch", "user_answer": "you watched"}, "2": {"reference": "you will watch", "user_answer": "you will watch"}, "3": {"reference": "he watched", "user_answer": "he watched"}, "4": {"reference": "I watch", "user_answer": "I will watch"}, "5": {"reference": "I accepted", "user_answer": "I will accept"}, "6": {"reference": "he watches", "user_answer": "he will watch"}, "test_correct_num": 3, "test_total_num": 7}
16	A37EV8RZ82WT8E	35	{"0": {"reference": "you will accept", "user_answer": "you accept"}, "1": {"reference": "you watch", "user_answer": "you watch"}, "2": {"reference": "you will watch", "user_answer": "you watched"}, "3": {"reference": "he watched", "user_answer": "he watched"}, "4": {"reference": "I watch", "user_answer": "I watch"}, "5": {"reference": "I accepted", "user_answer": "I accepted"}, "6": {"reference": "he watches", "user_answer": "he watches"}, "test_correct_num": 5, "test_total_num": 7}
17	A2T91F321UGZBX	35	{"0": {"reference": "you will accept", "user_answer": "you will watch"}, "1": {"reference": "you watch", "user_answer": "you watch"}, "2": {"reference": "you will watch", "user_answer": "you will accept"}, "3": {"reference": "he watched", "user_answer": "NO_ANSWER_MADE"}, "4": {"reference": "I watch", "user_answer": "I watch"}, "5": {"reference": "I accepted", "user_answer": "I accept"}, "6": {"reference": "he watches", "user_answer": "NO_ANSWER_MADE"}, "test_correct_num": 2, "test_total_num": 7}
18	A1XE1L4XWYHSYX	35	{"0": {"reference": "you will accept", "user_answer": "I watched"}, "1": {"reference": "you watch", "user_answer": "I accepted"}, "2": {"reference": "you will watch", "user_answer": "she accepted"}, "3": {"reference": "he watched", "user_answer": "I watched"}, "4": {"reference": "I watch", "user_answer": "she watched"}, "5": {"reference": "I accepted", "user_answer": "to watch"}, "6": {"reference": "he watches", "user_answer": "NO_ANSWER_MADE"}, "test_correct_num": 0, "test_total_num": 7}
19	A2G7N0X0PNX0EE	35	{"0": {"reference": "you will accept", "user_answer": "you will accept"}, "1": {"reference": "you watch", "user_answer": "you watch"}, "2": {"reference": "you will watch", "user_answer": "you watched"}, "3": {"reference": "he watched", "user_answer": "he watched"}, "4": {"reference": "I watch", "user_answer": "I watched"}, "5": {"reference": "I accepted", "user_answer": "I accept"}, "6": {"reference": "he watches", "user_answer": "NO_ANSWER_MADE"}, "test_correct_num": 3, "test_total_num": 7}
20	AI45NDJPUIOEJ	35	{"0": {"reference": "you will accept", "user_answer": "he entered"}, "1": {"reference": "you watch", "user_answer": "he watched"}, "2": {"reference": "you will watch", "user_answer": "NO_ANSWER_MADE"}, "3": {"reference": "he watched", "user_answer": "NO_ANSWER_MADE"}, "4": {"reference": "I watch", "user_answer": "NO_ANSWER_MADE"}, "5": {"reference": "I accepted", "user_answer": "NO_ANSWER_MADE"}, "6": {"reference": "he watches", "user_answer": "she entered"}, "test_correct_num": 0, "test_total_num": 7}
21	A2XJH3WC02RMXQ	35	{"0": {"reference": "you will accept", "user_answer": "he enters"}, "1": {"reference": "you watch", "user_answer": "he watched"}, "2": {"reference": "you will watch", "user_answer": "he accepts"}, "3": {"reference": "he watched", "user_answer": "you accept"}, "4": {"reference": "I watch", "user_answer": "you watched"}, "5": {"reference": "I accepted", "user_answer": "you accept"}, "6": {"reference": "he watches", "user_answer": "she watched"}, "test_correct_num": 0, "test_total_num": 7}
22	A3UTFL5JHRQCM1	8	NULL
23	A1EKUJGMFDI1RZ	35	{"0": {"reference": "you will accept", "user_answer": "you will accept"}, "1": {"reference": "you watch", "user_answer": "you watched"}, "2": {"reference": "you will watch", "user_answer": "you will watch"}, "3": {"reference": "he watched", "user_answer": "he watched"}, "4": {"reference": "I watch", "user_answer": "I will watch"}, "5": {"reference": "I accepted", "user_answer": "I watched"}, "6": {"reference": "he watches", "user_answer": "he will watch"}, "test_correct_num": 3, "test_total_num": 7}
